,Method,Trial,Params,Training Loss,Validation Loss
0,Grid Search,1,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 1e-06}",1519.6295101345486,1566.1083111328126
1,Grid Search,2,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 0.001}",1515.2285603515625,1551.0951017578125
2,Grid Search,3,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 1e-06}",1411.885833311632,1483.8646337890625
3,Grid Search,4,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 0.001}",1416.6538653862847,1476.92233515625
4,Grid Search,5,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 1e-06}",1292.0743062717013,1395.5365955078125
5,Grid Search,6,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 0.001}",1295.6958503689236,1383.34605546875
6,Grid Search,7,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 1e-06}",1285.342987217882,1401.4075125
7,Grid Search,8,"{'batch_size': 128, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 0.001}",1410.8183234592013,1485.0866232421874
8,Grid Search,9,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 1e-06}",1376.6587822265626,1451.038853125
9,Grid Search,10,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 0.001}",1376.3405450520834,1449.79581015625
10,Grid Search,11,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 1e-06}",1292.531166297743,1411.10818125
11,Grid Search,12,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 0.001}",1293.3323792534723,1424.347019140625
12,Grid Search,13,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 1e-06}",1256.5750244140625,1368.6514154296874
13,Grid Search,14,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 0.001}",1256.4103117621528,1364.7242634765626
14,Grid Search,15,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 1e-06}",1312.3836844184027,1442.3590736328124
15,Grid Search,16,"{'batch_size': 128, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 0.001}",1277.7513757378472,1408.3447763671875
16,Grid Search,17,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 1e-06}",1626.2930264105903,1655.8840330078126
17,Grid Search,18,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 0.001}",1634.4893716145834,1658.71251484375
18,Grid Search,19,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 1e-06}",1531.5711114149306,1580.0602078125
19,Grid Search,20,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 0.001}",1532.7517923394098,1595.06708046875
20,Grid Search,21,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 1e-06}",1318.2497219184029,1433.52358828125
21,Grid Search,22,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 0.001}",1320.581385546875,1412.2814126953126
22,Grid Search,23,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 1e-06}",1314.6160024739584,1425.8931328125
23,Grid Search,24,"{'batch_size': 256, 'hidden_dim': 256, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 0.001}",1335.4359098090279,1412.418544140625
24,Grid Search,25,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 1e-06}",1468.394339952257,1516.8973990234374
25,Grid Search,26,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 5, 'weight_decay': 0.001}",1471.7274373263888,1529.315567578125
26,Grid Search,27,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 1e-06}",1381.3909130859374,1458.2968123046876
27,Grid Search,28,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.0001, 'num_flows': 10, 'weight_decay': 0.001}",1376.3361342447918,1454.8295001953124
28,Grid Search,29,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 1e-06}",1254.2994854166666,1382.4514326171875
29,Grid Search,30,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 5, 'weight_decay': 0.001}",1251.2856428819443,1371.487367578125
30,Grid Search,31,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 1e-06}",1265.9640751302084,1380.990491015625
31,Grid Search,32,"{'batch_size': 256, 'hidden_dim': 512, 'lr': 0.001, 'num_flows': 10, 'weight_decay': 0.001}",1324.3797301866318,1415.6114255859375
